"id,""note"",""commentaire"""
"691,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 [Suivi dossier #5873]"""
"692,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 [Suivi dossier #4322]"""
"693,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 [Suivi dossier #3993]"""
"694,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 [Suivi dossier #6997]"""
"695,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 [Suivi dossier #3009]"""
"696,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 [Suivi dossier #4052]"""
"697,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 [Suivi dossier #1236]"""
"698,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 [Suivi dossier #4022]"""
"699,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 [Suivi dossier #6403]"""
"700,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 [Suivi dossier #9951]"""
"701,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 [Suivi dossier #548]"""
"702,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 [Suivi dossier #2884]"""
"703,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 [Suivi dossier #2778]"""
"704,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 [Suivi dossier #5238]"""
"705,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #7855]"""
"706,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #3562]"""
"707,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #4244]"""
"708,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #536]"""
"709,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #9950]"""
"710,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #8140]"""
"711,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #853]"""
"712,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #9844]"""
"713,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #6661]"""
"714,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #3772]"""
"715,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #8880]"""
"716,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #3083]"""
"717,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #8778]"""
"718,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #4640]"""
"719,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #6868]"""
"720,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #420]"""
"721,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] [Suivi dossier #1495]"""
"722,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] [Suivi dossier #6217]"""
"723,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] [Suivi dossier #6602]"""
"724,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] [Suivi dossier #4356]"""
"725,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] [Suivi dossier #1976]"""
"726,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] [Suivi dossier #6814]"""
"727,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] [Suivi dossier #8141]"""
"728,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] [Suivi dossier #262]"""
"729,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] [Suivi dossier #6890]"""
"730,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] [Suivi dossier #3664]"""
"731,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] [Suivi dossier #7649]"""
"732,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] [Suivi dossier #7255]"""
"733,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] [Suivi dossier #3329]"""
"734,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] [Suivi dossier #4880]"""
"735,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] [Suivi dossier #4415]"""
"736,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] [Suivi dossier #7435]"""
"737,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 [Suivi dossier #3931]"""
"738,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 [Suivi dossier #7348]"""
"739,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 [Suivi dossier #4948]"""
"740,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 [Suivi dossier #2696]"""
"741,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 [Suivi dossier #8638]"""
"742,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 [Suivi dossier #5101]"""
"743,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 [Suivi dossier #9590]"""
"744,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 [Suivi dossier #2651]"""
"745,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 [Suivi dossier #4485]"""
"746,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 [Suivi dossier #4471]"""
"747,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 [Suivi dossier #8901]"""
"748,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 [Suivi dossier #1093]"""
"749,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 [Suivi dossier #8762]"""
"750,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 [Suivi dossier #531]"""
"751,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 [Suivi dossier #6369]"""
"752,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 [Suivi dossier #253]"""
"753,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 [Suivi dossier #2157]"""
"754,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 [Suivi dossier #28]"""
"755,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 [Suivi dossier #3671]"""
"756,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 [Suivi dossier #8271]"""
"757,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 [Suivi dossier #341]"""
"758,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 [Suivi dossier #6892]"""
"759,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 [Suivi dossier #3438]"""
"760,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 [Suivi dossier #6515]"""
"761,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 [Suivi dossier #2261]"""
"762,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 [Suivi dossier #1761]"""
"763,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 [Suivi dossier #2024]"""
"764,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 [Suivi dossier #4834]"""
"765,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 [Suivi dossier #8102]"""
"766,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 [Suivi dossier #6006]"""
"767,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 [Suivi dossier #5727]"""
"768,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 [Suivi dossier #616]"""
"769,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 5899"""
"770,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 7649"""
"771,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 549"""
"772,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 9796"""
"773,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 7336"""
"774,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 7291"""
"775,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 4446"""
"776,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 360"""
"777,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 8464"""
"778,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 1237"""
"779,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 796"""
"780,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 270"""
"781,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 8961"""
"782,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 3995"""
"783,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 3095"""
"784,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 3488"""
"785,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 8155"""
"786,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 311"""
"787,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 7092"""
"788,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 4526"""
"789,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1357"""
"790,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3207"""
"791,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 1962"""
"792,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 191"""
"793,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 5069"""
"794,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 4771"""
"795,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8649"""
"796,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 8932"""
"797,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 8713"""
"798,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 6772"""
"799,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 7719"""
"800,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 8279"""
"801,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 - Ref: 8240"""
"802,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 - Ref: 6363"""
"803,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 - Ref: 7097"""
"804,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 - Ref: 6397"""
"805,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 - Ref: 693"""
"806,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 - Ref: 4274"""
"807,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 - Ref: 9292"""
"808,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 - Ref: 3640"""
"809,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 - Ref: 322"""
"810,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 - Ref: 691"""
"811,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 - Ref: 2490"""
"812,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 - Ref: 376"""
"813,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 - Ref: 4410"""
"814,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 - Ref: 925"""
"815,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 - Ref: 1396"""
"816,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 - Ref: 4205"""
"817,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 - Ref: 6835"""
"818,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 - Ref: 1564"""
"819,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 - Ref: 7314"""
"820,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 - Ref: 1880"""
"821,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 - Ref: 7459"""
"822,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 - Ref: 1656"""
"823,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 - Ref: 5901"""
"824,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 - Ref: 4538"""
"825,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 - Ref: 4988"""
"826,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 - Ref: 1324"""
"827,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 - Ref: 1659"""
"828,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 - Ref: 4324"""
"829,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 - Ref: 6643"""
"830,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 - Ref: 244"""
"831,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 - Ref: 1289"""
"832,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 - Ref: 5715"""
"833,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 4706"""
"834,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 6389"""
"835,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7826"""
"836,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 9964"""
"837,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 6342"""
"838,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 1820"""
"839,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 72"""
"840,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 4902"""
"841,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 4296"""
"842,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 6773"""
"843,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 977"""
"844,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 4566"""
"845,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 9902"""
"846,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 5811"""
"847,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 9349"""
"848,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9311"""
"849,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 8512"""
"850,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 4625"""
"851,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 7591"""
"852,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 4081"""
"853,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 7633"""
"854,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 5922"""
"855,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 6710"""
"856,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 5784"""
"857,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 8792"""
"858,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 6609"""
"859,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 6671"""
"860,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3526"""
"861,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 7617"""
"862,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 7509"""
"863,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 4693"""
"864,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 937"""
"865,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 - Ref: 609"""
"866,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 - Ref: 235"""
"867,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 - Ref: 9348"""
"868,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 - Ref: 6035"""
"869,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 - Ref: 2131"""
"870,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 - Ref: 2549"""
"871,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 - Ref: 6354"""
"872,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 - Ref: 4122"""
"873,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 - Ref: 1550"""
"874,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 - Ref: 5384"""
"875,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 - Ref: 2271"""
"876,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 - Ref: 5205"""
"877,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 - Ref: 9211"""
"878,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 - Ref: 441"""
"879,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 - Ref: 4571"""
"880,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 - Ref: 1534"""
"881,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 - Ref: 3959"""
"882,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 - Ref: 5193"""
"883,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 - Ref: 4088"""
"884,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 - Ref: 4859"""
"885,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 - Ref: 2035"""
"886,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 - Ref: 5597"""
"887,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 - Ref: 1880"""
"888,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 - Ref: 2609"""
"889,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 - Ref: 7405"""
"890,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 - Ref: 9200"""
"891,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 - Ref: 3786"""
"892,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 - Ref: 1332"""
"893,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 - Ref: 5301"""
"894,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 - Ref: 2509"""
"895,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 - Ref: 6641"""
"896,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 - Ref: 5680"""
"897,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #5886] - Ref: 8477"""
"898,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #345] - Ref: 5346"""
"899,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #4066] - Ref: 1299"""
"900,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #9296] - Ref: 457"""
"901,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #4282] - Ref: 8391"""
"902,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3521] - Ref: 583"""
"903,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #4761] - Ref: 7743"""
"904,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #3242] - Ref: 6966"""
"905,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #1930] - Ref: 1601"""
"906,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #9922] - Ref: 7107"""
"907,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #3822] - Ref: 735"""
"908,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #9342] - Ref: 2355"""
"909,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #5245] - Ref: 9567"""
"910,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #8200] - Ref: 773"""
"911,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #5268] - Ref: 5165"""
"912,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #1737] - Ref: 3508"""
